2026-04-09T00:10:52.124Z | buy | USDC=30 | fiat=BRL | rate=5.68 | in=170.38 BRL | out=30.00 USDC | quoteId=51742215-0036-4883-becb-c7516d811fee
2026-04-09T00:10:52.124Z | buy | USDC=30 | fiat=KES | rate=135.30 | in=4059.00 KES | out=30.00 USDC | quoteId=82a64d3b-696c-4444-95f6-b822dacdc0fd
2026-04-09T00:10:52.124Z | buy | USDC=30 | fiat=MWK | rate=1938.46 | in=58153.86 MWK | out=30.00 USDC | quoteId=a4a2e321-4292-42a5-8e83-8023914038cd
2026-04-09T00:10:52.124Z | buy | USDC=30 | fiat=NGN | rate=1526.81 | in=45804.19 NGN | out=30.00 USDC | quoteId=c495b02c-9745-48b4-8300-704feabbcb01
2026-04-09T00:10:52.124Z | buy | USDC=30 | fiat=RWF | rate=1587.72 | in=47631.75 RWF | out=30.00 USDC | quoteId=70e8d993-3c9e-47d5-99b3-a6c207d85f76
2026-04-09T00:10:52.124Z | buy | USDC=30 | fiat=TZS | rate=2785.95 | in=83578.50 TZS | out=30.00 USDC | quoteId=84a41ff6-b569-43be-b2f3-9f6e3bfcb07b
2026-04-09T00:10:52.124Z | buy | USDC=30 | fiat=UGX | rate=4063.10 | in=121893.00 UGX | out=30.00 USDC | quoteId=65266087-6a44-4d23-8278-e1c364020c52
2026-04-09T00:10:52.124Z | buy | USDC=30 | fiat=USD | rate=12.33 | in=369.92 USD | out=30.00 USDC | quoteId=d0f42742-3cb2-49f9-8d8c-4bacea155091
2026-04-09T00:10:52.124Z | buy | USDC=30 | fiat=XAF | rate=618.07 | in=18542.25 XAF | out=30.00 USDC | quoteId=92e6924b-99e3-426f-8c47-1740ce0395ec
2026-04-09T00:10:52.124Z | buy | USDC=30 | fiat=XOF | rate=603.72 | in=18111.75 XOF | out=30.00 USDC | quoteId=972dd46d-ee86-41d3-9e7f-51d2e3596190
2026-04-09T00:10:52.124Z | buy | USDC=30 | fiat=ZAR | rate=18.25 | in=547.59 ZAR | out=30.00 USDC | quoteId=f6df0535-0835-4c34-91d3-062a9b8c0089
2026-04-09T00:10:52.124Z | buy | USDC=30 | fiat=ZMW | rate=20.55 | in=616.54 ZMW | out=30.00 USDC | quoteId=fbdebe1d-004b-4407-93d7-c1440e487651
2026-04-09T00:56:26.847Z | buy | USDC=30 | fiat=AED | rate=4.09 | in=122.73 AED | out=30.00 USDC | quoteId=e4ae13eb-7f8c-42df-8a1f-7c593dbac855
2026-04-09T00:56:26.847Z | buy | USDC=30 | fiat=AFN | rate=72.37 | in=2170.98 AFN | out=30.00 USDC | quoteId=c7877c19-c0d6-4960-afc1-af0d0b3d8a5c
2026-04-09T00:56:26.847Z | buy | USDC=30 | fiat=ALL | rate=91.63 | in=2748.76 ALL | out=30.00 USDC | quoteId=d35a4f4f-e04c-478b-9bd1-170e9f09f33a
2026-04-09T00:56:26.847Z | buy | USDC=30 | fiat=AMD | rate=419.95 | in=12598.55 AMD | out=30.00 USDC | quoteId=8b071968-dfb7-4a56-86ae-ec76fe64e3e7
2026-04-09T00:56:26.847Z | buy | USDC=30 | fiat=ANG | rate=1.99 | in=59.82 ANG | out=30.00 USDC | quoteId=516f88a5-2537-45c3-9129-1ab4a6ef35df
2026-04-09T00:56:26.847Z | buy | USDC=30 | fiat=AOA | rate=1027.83 | in=30835.02 AOA | out=30.00 USDC | quoteId=3cdf317c-7758-4995-8e96-91678f776f1f
2026-04-09T00:56:34.654Z | sell | USDC=30 | fiat=AED | rate=3.73 | in=30.00 USDC | out=111.80 AED | quoteId=998d5b60-2204-43fe-ba87-edcb3a190df0
2026-04-09T00:56:26.847Z | buy | USDC=30 | fiat=ARS | rate=1545.12 | in=46353.72 ARS | out=30.00 USDC | quoteId=d878fbe3-f023-421d-beb8-c712c82c59ba
2026-04-09T00:56:34.654Z | sell | USDC=30 | fiat=AFN | rate=65.92 | in=30.00 USDC | out=1977.60 AFN | quoteId=86968438-8349-410b-ad49-ffd7860a6007
2026-04-09T00:56:26.847Z | buy | USDC=30 | fiat=AUD | rate=1.58 | in=47.44 AUD | out=30.00 USDC | quoteId=61430810-e101-4761-98ba-543eaa746678
2026-04-09T00:56:34.654Z | sell | USDC=30 | fiat=ALL | rate=83.46 | in=30.00 USDC | out=2503.92 ALL | quoteId=34c97a4f-4ce0-4c19-b6e6-eefcc4221579
2026-04-09T00:56:26.847Z | buy | USDC=30 | fiat=AWG | rate=1.99 | in=59.82 AWG | out=30.00 USDC | quoteId=e52d2847-fd74-4a0d-92ee-6e4324abf616
2026-04-09T00:56:34.654Z | sell | USDC=30 | fiat=AMD | rate=382.55 | in=30.00 USDC | out=11476.36 AMD | quoteId=2b3a29a3-b0d2-4732-a41c-b7faa9212579
2026-04-09T00:56:26.847Z | buy | USDC=30 | fiat=AZN | rate=1.89 | in=56.84 AZN | out=30.00 USDC | quoteId=cf32a270-b538-4903-a779-15533ee38b2d
